"Meters","Total Time","Pace","Date","Age","Class","Type","Comments",
"7000","39:00.9","2:47.2","2012-08-14","56","L","standard","24 s/m. @2.47, 557 cal/hr, drag 128, machine #3",
"7000","38:39.9","2:45.7","2012-08-17","56","L","standard","24 s/m @2.46, 564 cal/h, drag 128, 77 W, machine #3",
"2000","11:42.9","2:55.7","2012-08-16","56","L","standard","22 s/m, @2.56, 522 cal/h, 65 w, drag 117 machine #2",
"2000","10:32.9","2:38.2","2012-08-16","56","L","standard","26 s/m, @2:38, 604 cal/h, drag 117, 88 W, machine #2",
"500","2:38.9","2:38.9","2012-08-16","56","L","standard","26 s/m, @2.38, 604 cal/hr, drag 117, , 88 W, machine #2",
"500","2:31.2","2:31.2","2012-08-18","56","L","standard","32 s/m @2:31.2 648 drag 120 101W, machine #3 ",
"8292","48:00.0","2:53.6","2012-08-18","56","L","standard","25 s/m @2:54 529 drag 120 67W, machine #3",
"8800","52:00.0","2:57.2","2012-08-12","56","L","standard","@2:59, 62 W, drag 128, machine #3  4 x (13:00 + 1:00)",
"6500","38:00.0","2:55.3","2012-08-08","56","L","standard","526 cal/h, 26 s/m, drag 122",
"6917","42:00.0","3:02.1","2012-08-09","56","L","standard","25 s/m @3:02 499 cal/hr 58 w, drag 120-124 - 1st attempt 'fat burn'",
"4924","30:00.0","3:02.7","2012-08-10","56","L","standard","26 s/m 497 cal/hr 57 W, drag 118 #3 (no power today)",
"3883","24:00.0","3:05.4","2012-08-11","56","L","standard","488 c/h, 55W, 110 drag",
"5470","30:00.0","2:44.5","2012-08-19","56","L","standard","24 s/m, 570 cal/h,79W, drag 126, #1,",
"2000","10:54.0","2:43.5","2012-07-24","56","L","standard","",
"5600","30:00.0","2:40.7","2012-07-26","56","L","standard","",
"2000","10:08.7","2:32.1","2012-08-20","56","L","standard","28 s/m, 641 cal/h,99W, drag 130, #1,",
"11150","1:04:00.0","2:52.1","2012-11-20","56","L","standard","",
"9400","52:00.0","2:45.9","2012-11-18","56","L","standard","",
"4300","27:00.0","3:08.3","2012-11-23","56","L","standard","stopped b/c blood in urine",
"0","00:00.0","","2012-11-22","56","L","standard","",
"1500","10:00.0","3:20.0","2012-11-21","56","L","standard","Blood in urine; stop",
"9500","57:00.0","3:00.0","2012-11-24","56","L","standard","Blood in urine - only small amt (after);  v. tired, 3 days off",
"10200","1:02:00.0","3:02.3","2012-11-25","56","L","standard","",
"8200","51:00.0","3:06.5","2012-11-26","56","L","standard","fever? infection?  poor performance",
"8000","49:00.0","3:03.7","2012-11-27","56","L","standard","3rd 2k - exhausted - why?",
"9000","55:00.0","3:03.3","2012-11-29","56","L","standard","tough to finish, pizza, carbo loading?? - NO, no energy today",
"0","00:00.0","","2012-11-29","56","L","standard","",
"11550","1:07:00.0","2:54.0","2012-11-30","56","L","standard","good mood; good control; increased goal once I started
",
"0","00:00.0","","2012-12-01","56","L","standard","kidney stone, fever?",
"1000","7:22.0","3:41.0","2012-12-02","56","L","standard","kidney stone, fever?  stop",
"0","00:00.0","","2012-12-03","56","L","standard","kidney stone, fever?",
"6300","39:00.0","3:05.7","2012-12-04","56","L","standard","less fever? but now out-of-shape, like jelly",
"8100","51:00.0","3:08.8","2012-12-05","56","L","standard","no fever?   but out-of-shape",
"2600","15:00.0","2:53.0","2012-12-07","56","L","standard","zero energy",
"8600","52:00.0","3:01.3","2012-12-07","56","L","standard","back to normal? felt good",
"9500","55:00.0","2:53.6","2012-12-08","56","L","standard","",
"9500","55:00.0","2:53.6","2012-12-09","56","L","standard","a bit harder today",
"10500","1:04:00.0","3:02.8","2012-12-10","56","L","standard","unlv moves 1 rower upstairs during construction!",
"9000","51:00.0","2:50.0","2012-12-11","56","L","standard","tired; note spm faster than usual",
"9000","51:00.0","2:50.0","2012-12-12","56","L","standard","",
"11000","1:09:00.0","3:08.1","2012-12-13","56","L","standard","slow, steady, no pushing, music seems to help",
"9000","55:00.0","3:03.3","2012-12-14","56","L","standard","body is tired, w/music",
"9000","52:00.0","2:53.3","2012-12-15","56","L","standard","increased w:spm",
"9050","52:00.0","2:52.3","2012-12-16","56","L","standard","W:spm &gt; 5; very tired; collapse",
"0","00:00.0","","2012-12-17","56","L","standard","UNLV rower moved today - no rowing
need rest",
"10070","57:30.0","2:51.3","2012-12-18","56","L","standard","",
"9060","52:00.0","2:52.1","2012-12-19","56","L","standard","peak too soon @ ratio: 5.2, then tired",
"7900","48:00.0","3:02.2","2012-12-21","56","L","standard","think body and muscles need a 2-3 day rest",
"7900","51:00.0","3:13.6","2012-12-21","56","L","standard","drained, tired - something else going on??  UNLV now closes 2 weeks
",
"0","00:00.0","","2012-12-22","56","L","standard","UNLV closed - I need rest, too",
"9100","53:00.0","2:54.7","2012-11-01","56","L","standard","",
"5800","33:00.0","2:50.6","2012-11-02","56","L","standard","",
"8400","49:00.0","2:55.0","2012-11-03","56","L","standard","",
"0","00:00.0","","2012-11-04","56","L","standard","",
"0","00:00.0","","2012-11-05","56","L","standard","",
"9000","54:00.0","3:00.0","2012-11-06","56","L","standard","",
"8200","47:00.0","2:51.9","2012-11-07","56","L","standard","",
"0","47:00.0","","2012-11-08","56","L","standard","",
"8700","51:00.0","2:55.8","2012-11-09","56","L","standard","",
"9600","56:00.0","2:55.0","2012-11-10","56","L","standard","",
"3000","19:00.0","3:10.0","2012-11-11","56","L","standard","",
"9400","58:00.0","3:05.1","2012-11-12","56","L","standard","",
"0","00:00.0","","2012-11-13","56","L","standard","",
"11300","1:07:30.0","2:59.2","2012-11-14","56","L","standard","",
"7100","42:00.0","2:57.4","2012-11-15","56","L","standard","",
"9300","56:00.0","3:00.6","2012-11-16","56","L","standard","",
"8800","1:02:00.0","3:31.3","2012-11-17","56","L","standard","",
"0","00:00.0","","2012-11-19","56","L","standard","",
"0","00:00.0","","2012-12-23","56","L","standard","",
"0","00:00.0","","2012-08-01","56","L","standard","sick",
"0","00:00.0","","2012-08-02","56","L","standard","",
"0","00:00.0","","2012-08-03","56","L","standard","dont' know, 153 lb",
"0","00:00.0","","2012-08-04","56","L","standard","don't know",
"6450","35:00.0","2:42.7","2012-08-05","56","L","standard","",
"0","00:00.0","","2012-08-06","56","L","standard","",
"0","00:00.0","","2012-08-07","56","L","standard","",
"0","00:00.0","","2012-08-13","56","L","standard","",
"0","00:00.0","","2012-08-15","56","L","standard","",
"2000","11:48.0","2:57.0","2012-08-16","56","L","standard","",
"7800","44:00.0","2:49.2","2012-08-21","56","L","standard","",
"7800","46:00.0","2:56.9","2012-08-22","56","L","standard","",
"7600","42:00.0","2:45.7","2012-08-23","56","L","standard","146",
"4900","30:00.0","3:03.6","2012-08-24","56","L","standard","",
"0","00:00.0","","2012-08-25","56","L","standard","",
"9000","52:00.0","2:53.3","2012-08-26","56","L","standard","146.75 lb",
"8800","49:00.0","2:47.0","2012-08-27","56","L","standard","",
"7400","42:00.0","2:50.2","2012-08-28","56","L","standard","",
"6200","36:00.0","2:54.1","2012-08-29","56","L","standard","",
"0","00:00.0","","2012-08-30","56","L","standard","rest, feels like overtraining??",
"6300","40:00.0","3:10.4","2012-08-31","56","L","standard","145.75 lb",
"0","00:00.0","","2012-12-24","56","L","standard","",
"5700","33:00.0","2:53.6","2012-09-01","56","L","standard","",
"7000","45:00.0","3:12.8","2012-09-02","56","L","standard","",
"6100","37:00.0","3:01.9","2012-09-03","56","L","standard","",
"0","00:00.0","","2012-09-04","56","L","standard","",
"7200","36:00.0","2:30.0","2012-09-05","56","L","standard","",
"0","00:00.0","","2012-09-06","56","L","standard","rest - arm hurts",
"2200","14:00.0","3:10.9","2012-09-07","56","L","standard","",
"7000","44:00.0","3:08.5","2012-09-08","56","L","standard","",
"4500","30:00.0","3:20.0","2012-09-09","56","L","standard","",
"0","00:00.0","","2012-09-10","56","L","standard","",
"4000","26:00.0","3:15.0","2012-09-11","56","L","standard","",
"7100","39:00.0","2:44.7","2012-09-12","56","L","standard","",
"7100","34:00.0","2:23.6","2012-09-13","56","L","standard","",
"8300","52:00.0","3:07.9","2012-09-14","56","L","standard","",
"6800","39:00.0","2:52.0","2012-09-15","56","L","standard","",
"6100","35:00.0","2:52.1","2012-09-16","56","L","standard","",
"9600","1:00:00.0","3:07.5","2012-09-17","56","L","standard","",
