"Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"2013-04-27 00:00:00","7,900m row","45:00.0","2700","","","7900","","","","2:50.8","70","541","","","57","Lwt","Indoor Rower","No","4(500 m + 3')"
"2013-04-26 00:00:00","9,300m row","55:30.0","3330","","","9300","","","","2:59.0","61","510","","","57","Lwt","Indoor Rower","No","3(2k+2)"
"2013-04-25 00:00:00","0m row","","0","","","0","","","","","","","","","57","Lwt","Indoor Rower","No",""
"2013-04-24 00:00:00","0m row","","0","","","0","","","","","","","","","57","Lwt","Indoor Rower","No",""
"2013-04-23 00:00:00","3,251m row","20:00.0","1200","","","3251","","","","3:04.5","56","491","","","57","Lwt","Indoor Rower","No",""
"2013-04-22 00:00:00","9,300m row","55:00.0","3300","","","9300","","","","2:57.4","63","515","","","57","Lwt","Indoor Rower","No",""
"2013-04-21 00:00:00","4,000m row","25:00.0","1500","","","4000","","","","3:07.5","53","482","","","57","Lwt","Indoor Rower","No",""
"2013-04-20 00:00:00","2,800m row","17:00.0","1020","","","2800","","","","3:02.1","58","499","","","57","Lwt","Indoor Rower","No",""
"2013-04-19 00:00:00","6,500m row","41:00.0","2460","","","6500","","","","3:09.2","52","478","","","57","Lwt","Indoor Rower","No",""
"2013-04-18 00:00:00","3,100m row","20:00.0","1200","","","3100","","","","3:13.5","48","466","","","57","Lwt","Indoor Rower","No",""
"2013-04-17 00:00:00","6,100m row","40:00.0","2400","","","6100","","","","3:16.7","46","458","","","57","Lwt","Indoor Rower","No",""
"2013-04-16 00:00:00","4,790m row","30:00.0","1800","","","4790","","","","3:07.8","53","481","","","57","Lwt","Indoor Rower","No",""
"2013-04-15 00:00:00","0m row","","0","","","0","","","","","","","","","57","Lwt","Indoor Rower","No",""
"2013-04-14 00:00:00","0m row","","0","","","0","","","","","","","","","57","Lwt","Indoor Rower","No",""
"2013-04-13 00:00:00","0m row","","0","","","0","","","","","","","","","57","Lwt","Indoor Rower","No",""
"2013-04-12 00:00:00","3,200m row","20:30.0","1230","","","3200","","","","3:12.1","49","469","","","57","Lwt","Indoor Rower","No",""
"2013-04-11 00:00:00","7,400m row","47:00.0","2820","","","7400","","","","3:10.5","51","474","","","57","Lwt","Indoor Rower","No",""
"2013-04-10 00:00:00","8,300m row","53:00.0","3180","","","8300","","","","3:11.5","50","471","","","57","Lwt","Indoor Rower","No","3(2k+2) BKK - Day #1 - Fitness 1st"
