"Meters","Total Time","Pace","Date","Age","Class","Type","Comments",
"1540","10:00.0","3:14.8","2014-05-01","58","L","standard","",
"0","00:00.0","","2014-05-02","58","L","standard","surgery & recover next 2 days",
"5600","35:00.0","3:07.5","2014-05-16","58","L","standard","",
"0","00:00.0","","2014-05-03","58","L","standard","",
"4300","30:00.0","3:29.3","2014-05-17","58","L","standard","",
"0","00:00.0","","2014-05-18","58","L","standard","rest",
"3400","22:00.0","3:14.1","2014-05-19","58","L","standard","",
"1545","10:00.0","3:14.1","2014-05-20","58","L","standard","Farm, also",
"0","00:00.0","","2014-05-21","58","L","standard","housing worry",
"5700","35:00.0","3:04.2","2014-05-22","58","L","standard","",
"5900","35:00.0","2:57.9","2014-05-23","58","L","standard","",
"5900","35:00.0","2:57.9","2014-05-24","58","L","standard","",
"0","00:00.0","","2014-05-25","58","L","standard","PDX, urine #4",
"0","00:00.0","","2014-05-26","58","L","standard","PDX, urine #4",
"6200","37:00.0","2:59.0","2014-05-27","58","L","standard","1st row > 6K since 18Mar2014",
"0","00:00.0","","2014-05-28","58","L","standard","PDX",
"6300","37:00.0","2:56.1","2014-05-29","58","L","standard","",
"6700","40:00.0","2:59.1","2014-05-30","58","L","standard","1st 40' row since 18Mar2014",
"3700","24:00.0","3:14.5","2014-05-10","58","L","standard","",
"5100","31:00.0","3:02.3","2014-05-15","58","L","standard","",
"0","00:00.0","","2014-05-14","58","L","standard","rest, volunteer at kitchen today, sore from farm",
"3300","20:00.0","3:01.8","2014-05-13","58","L","standard","",
"4600","30:00.0","3:15.6","2014-05-12","58","L","standard","",
"0","00:00.0","","2014-05-11","58","L","standard","REST day - go to Farm",
"3700","24:00.0","3:14.5","2014-05-09","58","L","standard","Day #1 - post-stents!",
"0","00:00.0","","2014-05-08","58","L","standard","Stents removed - FIRST day since 18 Mar with no stents!",
"1574","10:00.0","3:10.5","2014-05-07","58","L","standard","",
"1430","10:00.0","3:29.7","2014-05-06","58","L","standard","Day #2 - post-surgery",
"885","6:00.0","3:23.3","2014-05-05","58","L","standard","Day #1 - post-surgery",
"0","00:00.0","","2014-05-04","58","L","standard","",
"3900","25:00.0","3:12.3","2014-05-31","58","L","standard","",
"4400","26:30.0","3:00.6","2014-06-01","58","L","standard","",
"4800","31:45.0","3:18.4","2014-06-02","58","L","standard","",
"0","00:00.0","","2014-06-03","58","L","standard","worry - look for apt",
