"Date","Time (Formatted)","Time (Seconds)","Distance","Stroke Rate","Pace","Avg Watts","Cal/Hour","Avg Heart Rate","Age","Weight","Type","Ranked","Comments"
"2016-04-30 00:00:00","30:24.0","1824","4000","","3:48.0","30","403","","60","Lwt","Indoor Rower","No",""
"2016-04-29 00:00:00","5:05.0","305","655","","3:52.8","28","396","","60","Lwt","Indoor Rower","No","forgot wrist brace"
"2016-04-28 00:00:00","31:38.0","1898","4000","","3:57.2","26","389","","60","Lwt","Indoor Rower","No",""
"2016-04-27 00:00:00","32:11.0","1931","4000","","4:01.3","25","386","","60","Lwt","Indoor Rower","No",""
"2016-04-26 00:00:00","36:37.0","2197","4166","","4:23.6","19","365","","60","Lwt","Indoor Rower","No",""
"2016-04-25 00:00:00","","0","0","","","","","","60","Lwt","Indoor Rower","No","LAZY"
"2016-04-24 00:00:00","19:00.0","1140","2514","","3:46.7","30","403","","60","Lwt","Indoor Rower","No",""
"2016-04-23 00:00:00","","0","0","","","","","","60","Lwt","Indoor Rower","No","Tired, lazy"
"2016-04-22 00:00:00","35:21.0","2121","4141","","4:16.1","21","372","","60","Lwt","Indoor Rower","No",""
"2016-04-21 00:00:00","15:31.0","931","2411","","3:13.0","49","468","","60","Lwt","Indoor Rower","No",""
"2016-04-20 00:00:00","","0","0","","","","","","60","Lwt","Indoor Rower","No","APT hunting; REST"
"2016-04-19 00:00:00","18:12.0","1092","2000","","4:33.0","17","358","","60","Lwt","Indoor Rower","No","no E"
"2016-04-18 00:00:00","32:08.0","1928","4167","","3:51.3","28","396","","60","Lwt","Indoor Rower","No",""
"2016-04-17 00:00:00","16:12.0","972","2131","","3:48.0","30","403","","60","Lwt","Indoor Rower","No","L=0"
"2016-04-16 00:00:00","31:00.0","1860","4218","","3:40.4","33","413","","60","Lwt","Indoor Rower","No","L=1"
"2016-04-15 00:00:00","32:20.0","1940","4252","","3:48.1","29","400","","60","Lwt","Indoor Rower","No",""
"2016-04-14 00:00:00","","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-04-13 00:00:00","33:59.0","2039","4202","","4:02.6","25","386","","60","Lwt","Indoor Rower","No",""
"2016-04-12 00:00:00","32:20.0","1940","4286","","3:46.3","30","403","","60","Lwt","Indoor Rower","No","Back to slight paralysis (2 seconds). Clearly gone over the threashold."
"2016-04-11 00:00:00","","0","0","","","","","","60","Lwt","Indoor Rower","No","REST, lazy"
"2016-04-10 00:00:00","26:15.0","1575","3742","","3:30.4","38","431","","60","Lwt","Indoor Rower","No","But today better. STARE at feet. And set resistance to 2.5 (from 2.0). THUMB is better, for longer, but still clearly a problem. STARE at feet!"
"2016-04-09 00:00:00","24:11.0","1451","3505","","3:26.9","39","434","","60","Lwt","Indoor Rower","No","BRACE ONLY, confirms yesterday. Thumb gets pins AND slight paralysis."
"2016-04-08 00:00:00","27:06.0","1626","3620","","3:44.5","31","407","","60","Lwt","Indoor Rower","No","BRACE ONLY (no cotton, no wt glove - not sure what benefit). But today first time Right Thumb has pins AND slight paralysis. No other fingers, not palm."
"2016-04-07 00:00:00","28:40.0","1720","3569","","4:00.9","25","386","","60","Lwt","Indoor Rower","No",""
"2016-04-06 00:00:00","30:58.0","1858","3512","","4:24.5","19","365","","60","Lwt","Indoor Rower","No",""
"2016-04-05 00:00:00","","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-04-04 00:00:00","25:44.0","1544","3590","","3:35.0","35","420","","60","Lwt","Indoor Rower","No",""
"2016-04-03 00:00:00","22:58.0","1378","3313","","3:27.9","39","434","","60","Lwt","Indoor Rower","No",""
"2016-04-02 00:00:00","24:50.0","1490","3305","","3:45.4","31","407","","60","Lwt","Indoor Rower","No",""
"2016-04-01 00:00:00","23:42.0","1422","3312","","3:34.6","35","420","","60","Lwt","Indoor Rower","No",""
"2016-03-31 00:00:00","21:53.0","1313","3029","","3:36.7","34","417","","60","Lwt","Indoor Rower","No",""
"2016-03-30 00:00:00","22:19.0","1339","3011","","3:42.3","32","410","","60","Lwt","Indoor Rower","No",""
"2016-03-29 00:00:00","","0","0","","","","","","60","Lwt","Indoor Rower","No","Lazy"
"2016-03-28 00:00:00","21:15.0","1275","3004","","3:32.2","37","427","","60","Lwt","Indoor Rower","No",""
"2016-03-27 00:00:00","21:52.0","1312","3005","","3:38.3","34","417","","60","Lwt","Indoor Rower","No",""
"2016-03-26 00:00:00","23:14.0","1394","3029","","3:50.1","29","400","","60","Lwt","Indoor Rower","No",""
"2016-03-25 00:00:00","22:26.0","1346","3011","","3:43.5","31","407","","60","Lwt","Indoor Rower","No",""
"2016-03-24 00:00:00","","0","0","","","","","","60","Lwt","Indoor Rower","No","lazy"
"2016-03-23 00:00:00","","0","0","","","","","","60","Lwt","Indoor Rower","No","see Dr. M"
"2016-03-22 00:00:00","22:17.0","1337","3095","","3:35.9","35","420","","60","Lwt","Indoor Rower","No","aim for 3000, so far no pins & needles, but thumb does feel something, (glove too tight, brace pulling on area bet. thumb & 1st finger?)"
"2016-03-21 00:00:00","17:57.0","1077","2713","","3:18.4","45","455","","60","Lwt","Indoor Rower","No",""
"2016-03-20 00:00:00","18:13.0","1093","2650","","3:26.2","40","437","","60","Lwt","Indoor Rower","No",""
"2016-03-19 00:00:00","19:19.0","1159","2666","","3:37.3","34","417","","60","Lwt","Indoor Rower","No",""
"2016-03-18 00:00:00","20:01.0","1201","2800","","3:34.4","35","420","","60","Lwt","Indoor Rower","No",""
"2016-03-17 00:00:00","","0","0","","","","","","60","Lwt","Indoor Rower","No",""
"2016-03-16 00:00:00","15:48.0","948","2006","","3:56.2","27","393","","60","Lwt","Indoor Rower","No",""
"2016-03-15 00:00:00","19:15.0","1155","2697","","3:34.1","36","424","","60","Lwt","Indoor Rower","No",""
"2016-03-14 00:00:00","","0","0","","","","","","60","Lwt","Indoor Rower","No","REST - body, sleeping too much"
"2016-03-13 00:00:00","14:51.0","891","2204","","3:22.1","42","444","","60","Lwt","Indoor Rower","No","43,24"
"2016-03-12 00:00:00","16:01.0","961","2209","","3:37.5","34","417","","60","Lwt","Indoor Rower","No","36,21"
"2016-03-11 00:00:00","14:18.0","858","2000","","3:34.5","35","420","","60","Lwt","Indoor Rower","No","36,21"
"2016-03-10 00:00:00","13:48.0","828","2205","","3:07.7","53","482","","60","Lwt","Indoor Rower","No","56W, 25 -- easy, don't hurt anything"
"2016-03-09 00:00:00","15:34.0","934","2200","","3:32.2","37","427","","60","Lwt","Indoor Rower","No","41W, 23 spm, long strokes, right hand .... don't know, no pins & needles but always feels like its about to break."
"2016-03-08 00:00:00","21:59.0","1319","3000","","3:39.8","33","413","","60","Lwt","Indoor Rower","No","2 sessions today! (am & pm) -36W,23 spm, max 50W -27W, 20"
